7.00,1.00,85.89
7.00,3.00,89.87
7.00,5.00,90.98
7.00,7.00,91.27
7.00,9.00,91.40
7.00,11.00,91.49
7.00,13.00,91.42
7.00,15.00,91.52
7.00,17.00,91.52
7.00,19.00,91.54
7.00,21.00,91.57
7.00,23.00,91.58
7.00,25.00,91.56
9.00,1.00,85.53
9.00,3.00,89.75
9.00,5.00,90.87
9.00,7.00,91.19
9.00,9.00,91.36
9.00,11.00,91.44
9.00,13.00,91.44
9.00,15.00,91.52
9.00,17.00,91.56
9.00,19.00,91.56
9.00,21.00,91.53
9.00,23.00,91.54
9.00,25.00,91.56
11.00,1.00,85.26
11.00,3.00,89.59
11.00,5.00,90.81
11.00,7.00,91.21
11.00,9.00,91.37
11.00,11.00,91.43
11.00,13.00,91.47
11.00,15.00,91.54
11.00,17.00,91.52
11.00,19.00,91.55
11.00,21.00,91.53
11.00,23.00,91.53
11.00,25.00,91.59
13.00,1.00,84.96
13.00,3.00,89.45
13.00,5.00,90.78
13.00,7.00,91.19
13.00,9.00,91.33
13.00,11.00,91.41
13.00,13.00,91.47
13.00,15.00,91.52
13.00,17.00,91.52
13.00,19.00,91.52
13.00,21.00,91.55
13.00,23.00,91.54
13.00,25.00,91.58
15.00,1.00,84.82
15.00,3.00,89.45
15.00,5.00,90.76
15.00,7.00,91.18
15.00,9.00,91.34
15.00,11.00,91.39
15.00,13.00,91.47
15.00,15.00,91.51
15.00,17.00,91.54
15.00,19.00,91.57
15.00,21.00,91.57
15.00,23.00,91.56
15.00,25.00,91.53
17.00,1.00,84.86
17.00,3.00,89.42
17.00,5.00,90.80
17.00,7.00,91.18
17.00,9.00,91.36
17.00,11.00,91.41
17.00,13.00,91.46
17.00,15.00,91.52
17.00,17.00,91.52
17.00,19.00,91.53
17.00,21.00,91.58
17.00,23.00,91.55
17.00,25.00,91.59
19.00,1.00,84.83
19.00,3.00,89.32
19.00,5.00,90.77
19.00,7.00,91.21
19.00,9.00,91.35
19.00,11.00,91.38
19.00,13.00,91.43
19.00,15.00,91.50
19.00,17.00,91.53
19.00,19.00,91.55
19.00,21.00,91.56
19.00,23.00,91.54
19.00,25.00,91.56
21.00,1.00,84.82
21.00,3.00,89.32
21.00,5.00,90.76
21.00,7.00,91.20
21.00,9.00,91.35
21.00,11.00,91.40
21.00,13.00,91.46
21.00,15.00,91.51
21.00,17.00,91.51
21.00,19.00,91.55
21.00,21.00,91.56
21.00,23.00,91.54
21.00,25.00,91.58
23.00,1.00,84.87
23.00,3.00,89.25
23.00,5.00,90.81
23.00,7.00,91.21
23.00,9.00,91.34
23.00,11.00,91.40
23.00,13.00,91.47
23.00,15.00,91.54
23.00,17.00,91.51
23.00,19.00,91.56
23.00,21.00,91.57
23.00,23.00,91.54
23.00,25.00,91.54
25.00,1.00,84.82
25.00,3.00,89.26
25.00,5.00,90.82
25.00,7.00,91.22
25.00,9.00,91.28
25.00,11.00,91.40
25.00,13.00,91.45
25.00,15.00,91.49
25.00,17.00,91.50
25.00,19.00,91.58
25.00,21.00,91.59
25.00,23.00,91.53
25.00,25.00,91.56
